"text","temperature","air","acoustics","light","facilities","ergonomics","culture","coffee_snacks","focus","cleanliness","design","relax","meetings","male","female","18-25","26-35","36-45","46-60","60+","company1","company2","company3","company4","company5","company6","company7","company8","company9","company10","company11","company12","company13","company14","company15","company16","company17"
"The disadvantage is the inability to open the windows and let in fresh air Inability to open the windows and let in fresh air",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"You can not open a window and let in fresh air. Little green flowers here in this environment can also survive (little air), so wither. Otherwise cramped space (we are overwhelmed with furniture, wardrobes, therefore nevzdušné) Better than working at home (other sensations, distractions), but the environment could be more pleasant (colors, foliage, furniture, walls are white, etc.). Uneasiness, inability to open the window a few colors (drab environment) Opening window, more light.",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Often feel fatigue, shortness of breath lack of air, light back windows",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"- do not open the windows, there is little air - burning of the eyes - in the office is not water source little natural light a lot of people in one place who often walks and talks. little air, stuffy, impossibility aired, a high concentration of people Opening the window ... but since it's not, so really functional ventilation with fresh air from outside",0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It's not about open space, a maximum of about 5 employees sharing the space is acceptable, but this lack of natural supply of fresh air (windows neotvírací), conditioned air might be clean, but when coming from outside stale ... I feel that the long suffering mucosa. Sometimes it would need absolute peace. Glass partitions in some ways sound more spread than it would prevent. Design, few natural and natural materials, blinds that do not allow to vary the flow of light (either dark or sun), dry air. replace blinds",0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poor air quality and temperature caused by air new chair",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"there is no possibility to open the window in the afternoon I sometimes headache noise openspace offices little oxygen fresh air",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sometimes there is emotionally cold.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Occasionally unbalanced temperature, noise can be heard by cooling Even better order within the activity-based operation. A little more organize IT equipment / wiring",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sometimes too big chill",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WINTER more heat",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The quality is excellent place to relax or, conversely, to focus. I can work in separate místnůstkách where peace of mind (sometimes full)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"better coffee :)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"big temperature difference compared to the outdoor environment",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Air quality is very very poor - it is difficult to breathe - high noise level (open-space) - above almost no light air, noise, lack of light adjust the best air quality",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"We are working here without daylight, the whole day under artificial light or in the dark of total! There is no air is in the worst poobedných hours (no matter whether it is winter or summer). After a few hours, I feel totally tired, exhausted, without energy ... disaster !!! + Jobs were not cleaned - sometimes I feel like to do not tire even, neutiera the dust ... absolutely nothing. There is still someone running, dupe, trending with me the whole balcony where I'm sitting. I hate noise, which goes mainly from marketing under us. Unless you're not the headphones, it is not realistic to have anything to focus on. I already wrote above. No air unbreathable, no light, artificial lighting throughout the day, darkness. I need daylight !!!",0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"No sunshine, no air, limited home office. I do not have fresh air and there's hot. Unhealthy environment in which I work long term. Air, or work 1 - 2x a week from home.",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"There is no light or air Because after lunch the missing oxygen / fresh air We have no light or fresh air",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"The minimum amount of natural light. Smoggy air. No possibility for ventilation and fresh air. Non-adjustable tables, chairs neeergonomické. Minimum greenery - what we understand, because they would not survive. See the work environment. This morning a little more respect, but with each passing hour it's worse and worse. The minimum amount of natural light. Smoggy air. No possibility for ventilation and fresh air. Non-adjustable tables, chairs neeergonomické. Minimum greenery - what we understand, because they would not survive. Move to a better location with natural light, air, greenery and adjustable desks.",0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
